,molecule_chembl_id,pKi,max_phase,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
0,CHEMBL60745,8.787812395596042,,245.041526232,0.4,2,1,1,3,13,2,0,20.23,0.6624616264393831,-1.0169999999999988,3.185866323435399,0,0,0,1,0,1,0,0,0
1,CHEMBL208599,10.585026652029182,,298.123676288,0.3888888888888889,2,2,4,3,21,1,0,38.91,0.7638693503355111,4.856500000000003,4.331774787348158,2,0,2,1,1,2,0,0,0
2,CHEMBL95,6.821023052706831,4.0,198.115698448,0.3076923076923077,2,2,3,2,15,0,0,38.91,0.7064882384087371,2.695800000000001,2.0147191327899314,1,0,1,1,1,2,0,0,0
3,CHEMBL173309,7.913640169325252,,694.53970672,0.6666666666666666,8,0,2,8,50,29,0,65.56000000000002,0.07973040245117369,8.426000000000007,2.803679997203595,0,0,0,2,0,2,0,0,0
4,CHEMBL1128,6.698970004336019,4.0,201.092041812,0.4,2,1,1,3,13,2,0,20.23,0.608112327321701,-1.0169999999999988,3.185866323435399,0,0,0,1,0,1,0,0,0
5,CHEMBL102226,4.698970004336019,,297.152927816,0.9230769230769231,3,0,0,5,18,9,0,26.3,0.35292709839237035,0.536800000000001,2.9651695994780027,0,0,0,0,0,0,0,0,0
6,CHEMBL640,6.0,4.0,235.168462292,0.46153846153846156,4,3,1,4,17,6,0,58.36,0.7315396930195435,1.3403999999999996,1.7916872037718168,0,0,0,1,0,1,0,0,0
7,CHEMBL103873,5.698970004336019,,269.121627688,0.9090909090909091,3,0,0,5,16,7,0,26.3,0.36250459139399305,-0.24339999999999828,3.0971056986128724,0,0,0,0,0,0,0,0,0
8,CHEMBL75121,7.66354026615147,,415.17835827999994,0.19230769230769232,5,0,4,5,31,7,0,51.91,0.39276957369348087,5.109200000000005,2.1172407822540826,0,0,0,3,1,4,0,0,0
9,CHEMBL502,7.688246138944246,4.0,379.214743788,0.4583333333333333,4,0,4,4,28,6,0,38.77,0.7474614915624848,4.361100000000004,2.6772217266931317,1,1,2,2,0,2,0,1,1
10,CHEMBL345124,5.146301788223825,,668.087293088,0.2962962962962963,4,4,4,6,33,7,0,55.92,0.08742223209516307,-1.0035999999999927,4.589064122321196,0,0,0,3,1,4,0,0,0
11,CHEMBL179455,8.826813731587727,,638.39657095609,0.3170731707317073,7,7,7,7,48,14,0,104.89999999999999,0.03810174675142396,7.000500000000006,3.2125596889873975,1,0,1,4,2,6,0,0,0
12,CHEMBL361165,6.048662481204082,,605.39623660809,0.34210526315789475,7,5,5,7,45,16,0,83.66,0.05587159228877716,5.944200000000005,3.0497372456975107,0,0,0,4,1,5,0,0,0
13,CHEMBL359719,5.638272163982407,,484.2097179839999,0.5555555555555556,8,2,5,8,35,2,0,115.43000000000002,0.6236213406820516,3.3869000000000025,4.554141280331507,1,2,3,1,1,2,1,1,2
14,CHEMBL369772,5.823908740944319,,161.10519334,0.8571428571428571,4,2,0,4,11,5,0,58.56,0.5772928793849624,0.5049999999999999,1.9282280286049218,0,0,0,0,0,0,0,0,0
15,CHEMBL182596,5.853871964321762,,203.152143532,0.9,4,2,0,4,14,8,0,58.56,0.5899342330992831,1.6753,1.8968628342128486,0,0,0,0,0,0,0,0,0
16,CHEMBL181445,6.443697499232712,,245.199093724,0.9230769230769231,4,2,0,4,17,11,0,58.56,0.5502495743809434,2.8456000000000015,1.9181165818405557,0,0,0,0,0,0,0,0,0
17,CHEMBL181435,6.698970004336019,,273.230393852,0.9333333333333333,4,2,0,4,19,13,0,58.56,0.5037896148201814,3.625800000000003,1.9449822768578517,0,0,0,0,0,0,0,0,0
18,CHEMBL182696,6.522878745280337,,301.26169398,0.9411764705882353,4,2,0,4,21,15,0,58.56,0.4405528111711122,4.406000000000005,1.9788343896629392,0,0,0,0,0,0,0,0,0
19,CHEMBL183394,6.698970004336019,,329.292994108,0.9473684210526315,4,2,0,4,23,17,0,58.56,0.36117218037311655,5.186200000000007,2.0180320806661403,0,0,0,0,0,0,0,0,0
20,CHEMBL184316,6.886056647693163,,357.324294236,0.9523809523809523,4,2,0,4,25,19,0,58.56,0.2801043109049299,5.966400000000007,2.0614589284843348,0,0,0,0,0,0,0,0,0
21,CHEMBL366931,6.443697499232712,,260.173607248,0.8333333333333334,6,2,0,6,18,9,0,76.66,0.6218980616798202,2.0389999999999997,2.0026338875303775,0,0,0,0,0,0,0,0,0
22,CHEMBL181867,6.6020599913279625,,302.22055744,0.8666666666666667,6,2,0,6,21,12,0,76.66,0.5426965850254267,3.2093000000000016,2.0440003349041387,0,0,0,0,0,0,0,0,0
23,CHEMBL425165,6.823908740944319,,344.267507632,0.8888888888888888,6,2,0,6,24,15,0,76.66,0.43223781039696585,4.3796000000000035,2.095433708967393,0,0,0,0,0,0,0,0,0
24,CHEMBL185000,6.795880017344075,,372.29880776,0.9,6,2,0,6,26,17,0,76.66,0.3457597402884426,5.159800000000005,2.0805096939225223,0,0,0,0,0,0,0,0,0
25,CHEMBL184946,6.795880017344075,,400.330107888,0.9090909090909091,6,2,0,6,28,19,0,76.66,0.2630479998248297,5.940000000000007,2.07355938170533,0,0,0,0,0,0,0,0,0
26,CHEMBL185164,6.795880017344075,,428.361408016,0.9166666666666666,6,2,0,6,30,21,0,76.66,0.19892200330625787,6.720200000000008,2.073356761971466,0,0,0,0,0,0,0,0,0
27,CHEMBL362685,6.769551078621726,,456.392708144,0.9230769230769231,6,2,0,6,32,23,0,76.66,0.1560313231603629,7.500400000000009,2.078947732370791,0,0,0,0,0,0,0,0,0
28,CHEMBL92460,7.26003230324049,,320.18886338799996,0.38095238095238093,3,0,4,3,24,5,0,29.270000000000003,0.6837582485588242,4.6726000000000045,2.029694342451556,0,1,1,2,1,3,0,1,1
29,CHEMBL433379,8.110026361596004,,334.20451345199996,0.4090909090909091,3,0,4,3,25,5,0,29.270000000000003,0.6587217555917901,4.981020000000005,2.134053107278513,0,1,1,2,1,3,0,1,1
30,CHEMBL188823,8.240030142445693,,364.215078136,0.43478260869565216,4,0,4,4,27,6,0,38.50000000000001,0.6175645791603549,4.989620000000005,2.2570305382742433,0,1,1,2,1,3,0,1,1
31,CHEMBL94186,8.14002155835798,,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.50000000000001,0.646828867661836,4.681200000000005,2.139021497455669,0,1,1,2,1,3,0,1,1
32,CHEMBL93619,8.15002808767115,,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.5,0.646828867661836,4.681200000000004,2.176852066886239,0,1,1,2,1,3,0,1,1
33,CHEMBL92736,8.550059011226661,,377.210327104,0.391304347826087,5,1,4,5,28,6,0,58.370000000000005,0.6803010500515037,4.631000000000004,2.2086962876270135,0,1,1,2,1,3,0,1,1
34,CHEMBL92955,7.849857838151442,,475.19296278800005,0.2962962962962963,6,1,5,7,34,8,0,75.44,0.36554536815442723,5.473400000000005,2.3092932462691707,0,1,1,3,1,4,0,1,1
35,CHEMBL93936,9.100015437450608,,405.241627232,0.48,5,0,5,5,30,6,0,41.74000000000001,0.60359416443472,4.509200000000004,2.3478263404304975,0,2,2,2,1,3,0,2,2
36,CHEMBL420625,7.700057099977233,,335.19976242,0.38095238095238093,4,2,4,4,25,5,0,55.29,0.7080936278303641,4.254800000000004,2.216920466945874,0,1,1,2,1,3,0,1,1
37,CHEMBL330004,7.299988937677888,,398.099375456,0.38095238095238093,3,0,4,4,25,5,0,29.270000000000003,0.5726304244392155,5.435100000000005,2.191080550105955,0,1,1,2,1,3,0,1,1
38,CHEMBL92775,7.0,,345.184112356,0.36363636363636365,4,0,4,4,26,5,0,53.06,0.6808603457794097,4.544280000000004,2.2978027162368875,0,1,1,2,1,3,0,1,1
39,CHEMBL92663,8.059981844992336,,363.19467704,0.36363636363636365,5,2,4,5,27,6,0,72.36000000000001,0.7234518236914199,3.771500000000003,2.2273822422664526,0,1,1,2,1,3,0,1,1
40,CHEMBL93241,6.050000457140078,,334.20451345199996,0.4090909090909091,3,0,4,3,25,6,0,29.270000000000003,0.630594362331588,5.062700000000005,2.0709312361766425,0,1,1,2,1,3,0,1,1
41,CHEMBL94059,5.589999287456538,,322.168127944,0.35,4,0,4,4,24,5,0,38.5,0.7081288561333502,4.118800000000004,2.090978957836171,0,1,1,2,1,3,0,1,1
42,CHEMBL92629,6.4900049079866005,,321.184112356,0.35,4,1,4,4,24,5,0,41.3,0.7662222197995152,4.151900000000003,2.068784727066941,0,1,1,2,1,3,0,1,1
43,CHEMBL328102,7.0,,336.16601976799996,0.38095238095238093,2,0,4,3,24,5,0,16.130000000000003,0.6410474098351782,5.141100000000005,2.1743808809130964,0,1,1,2,1,3,0,1,1
44,CHEMBL92142,6.6599923820033275,,330.209598832,0.34782608695652173,2,0,4,2,25,5,0,16.130000000000003,0.6483634581037913,5.079600000000005,1.973400774638181,0,1,1,2,1,3,0,1,1
45,CHEMBL92958,6.919987152892072,,319.20484780000004,0.38095238095238093,3,1,4,3,24,5,0,31.92,0.7552858605068138,4.407700000000004,2.1147789578361706,0,1,1,2,1,3,0,1,1
46,CHEMBL329231,9.240030142445693,,389.21032710400004,0.4166666666666667,5,1,5,5,29,5,0,58.370000000000005,0.6950786465626431,4.557300000000004,2.521913937621404,0,2,2,2,1,3,0,1,1
47,CHEMBL328468,9.019996628416253,,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5355287680176204,0,2,2,2,1,3,0,1,1
48,CHEMBL426441,9.320027305722581,,389.210327104,0.4166666666666667,5,0,5,5,29,5,0,49.580000000000005,0.656480905606345,4.191500000000004,2.5577110753673793,0,2,2,2,1,3,0,1,1
49,CHEMBL95020,8.439973751087107,,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5693550886849064,0,2,2,2,1,3,0,1,1
50,CHEMBL185799,6.599997654072045,,378.20637017609,0.375,4,0,4,4,28,5,0,35.53,0.7262677452739872,4.340300000000004,2.8332810062011244,1,1,2,2,0,2,0,1,1
51,CHEMBL186144,8.100015437450608,,424.19409124008996,0.4,4,0,4,5,30,6,0,35.53,0.38449379530696826,5.548100000000006,3.4212363782713195,0,1,1,2,1,3,0,1,1
52,CHEMBL361869,7.36997914888659,,440.1890058600899,0.4,5,1,4,6,31,6,0,55.760000000000005,0.45236001738625825,4.518900000000005,3.799925929357199,0,1,1,2,1,3,0,1,1
53,CHEMBL189283,6.41999931041096,,468.22030598809,0.4444444444444444,5,1,4,6,33,7,0,55.760000000000005,0.3776870216485031,5.2991000000000055,3.7554270563039394,0,1,1,2,1,3,0,1,1
54,CHEMBL362711,6.959991363986458,,452.22539136808996,0.4444444444444444,4,0,4,5,32,7,0,35.53,0.31041168107563055,6.328300000000008,3.4327799679943976,0,1,1,2,1,3,0,1,1
55,CHEMBL185976,6.919987152892072,,454.2046559240899,0.4230769230769231,5,0,4,6,32,7,0,44.760000000000005,0.3648206709927736,5.173000000000005,3.879086227429921,0,1,1,2,1,3,0,1,1
56,CHEMBL188325,6.279997898282849,,408.16279111208996,0.2916666666666667,4,0,4,5,29,6,0,35.53,0.42154362859419986,5.078100000000006,3.370269938687107,0,1,1,2,1,3,0,0,0
57,CHEMBL187812,4.709999910852971,,398.17844117608996,0.391304347826087,4,1,4,5,28,5,0,38.69,0.6470797513124261,4.413500000000004,3.7855727249629183,0,1,1,2,1,3,0,1,1
58,CHEMBL191729,5.570000775141681,,380.16787649208993,0.30434782608695654,3,0,4,4,27,5,0,18.46,0.5554337429768454,5.352400000000006,3.3047041806863744,0,1,1,2,1,3,0,0,0
59,CHEMBL364125,7.280006173632396,,392.18900586008994,0.5714285714285714,5,0,3,6,27,7,0,44.760000000000005,0.5278318620452861,3.9943000000000035,3.593873812502494,0,1,1,1,1,2,0,1,1
60,CHEMBL610243,7.489991487059765,,587.07073203609,0.43478260869565216,8,0,4,10,33,7,0,91.81,0.11642654728603881,5.667300000000005,4.988814978922393,0,1,1,0,3,3,0,1,1
61,CHEMBL372491,7.550059011226662,,432.2203059880899,0.625,5,0,4,6,30,6,0,44.760000000000005,0.48022524415300016,4.917000000000005,3.8677479742191263,0,2,2,1,1,2,0,2,2
62,CHEMBL364585,7.100015437450609,,448.21522060809,0.5833333333333334,6,0,3,7,31,6,0,61.83000000000001,0.3644789318975988,4.689600000000005,3.682303268960844,0,1,1,1,1,2,0,1,1
63,CHEMBL188917,6.40999458034867,,454.20465592409,0.4230769230769231,5,0,4,6,32,8,0,44.760000000000005,0.3364379444417358,5.426900000000006,3.451353379365636,0,1,1,2,1,3,0,1,1
64,CHEMBL188338,6.0,,373.15804008008996,0.5,5,0,3,6,26,5,0,59.32000000000001,0.45343068355775906,3.8714800000000036,3.731884630350528,0,1,1,1,1,2,0,1,1
65,CHEMBL366114,6.050000457140078,,344.13149098409,0.3684210526315789,4,0,3,5,24,6,0,39.410000000000004,0.7556314630538877,2.7470000000000008,3.332175015180871,0,1,1,1,1,2,0,0,0
66,CHEMBL188753,6.549997369826814,,358.14714104809,0.4,4,0,3,5,25,7,0,39.41,0.7126170009414374,3.2299000000000024,3.3601053363484388,0,1,1,1,1,2,0,0,0
67,CHEMBL189122,6.6599923820033275,,370.14714104809,0.3333333333333333,4,0,3,5,26,8,0,39.41,0.5274159177582065,3.3960000000000026,3.52008495123541,0,1,1,1,1,2,0,0,0
68,CHEMBL189517,6.959991363986458,,384.16279111209,0.45454545454545453,4,0,4,5,27,8,0,39.410000000000004,0.6519194610048545,3.6200000000000028,3.4908438179721646,1,1,2,1,1,2,1,0,1
69,CHEMBL365904,7.400007822415902,,398.17844117609,0.4782608695652174,4,0,4,5,28,8,0,39.410000000000004,0.6300880747112739,4.010100000000003,3.485370807889714,1,1,2,1,1,2,1,0,1
70,CHEMBL186264,8.15002808767115,,402.17335579608994,0.45454545454545453,5,0,3,6,28,10,0,48.64,0.45103544089960657,3.246500000000001,3.419989269428175,0,1,1,1,1,2,0,0,0
71,CHEMBL187818,8.590066876668706,,438.15336930009005,0.28,4,0,4,6,31,8,0,39.410000000000004,0.48903583071782986,4.397400000000004,3.2635960571492415,0,1,1,2,1,3,0,0,0
72,CHEMBL188011,6.0,,478.16827041608997,0.2962962962962963,6,0,4,7,34,9,0,65.71000000000001,0.34161990708831325,4.044900000000003,3.2833994686556203,0,1,1,2,1,3,0,0,0
73,CHEMBL362752,8.219970872662662,,426.11921204809005,0.30434782608695654,4,0,4,6,29,8,0,39.410000000000004,0.5031104326645138,4.319800000000003,3.4958575528801443,0,1,1,1,2,3,0,0,0
74,CHEMBL610242,8.349984047528162,,583.0394319080899,0.30434782608695654,8,0,4,10,33,9,0,95.69,0.15980263839265849,4.377500000000003,3.8894494674880464,0,1,1,1,2,3,0,0,0
75,CHEMBL86031,7.0,,380.22202024008993,0.4583333333333333,4,0,4,4,28,6,0,35.53,0.5475826149261793,4.4775000000000045,2.6105184264637877,0,2,2,2,0,2,0,1,1
76,CHEMBL313231,7.3799681048737025,,366.20637017608993,0.43478260869565216,4,0,4,4,27,6,0,35.53,0.5601874947219133,4.435000000000004,2.590006000786415,0,2,2,2,0,2,0,1,1
77,CHEMBL313582,6.859995049380551,,392.25840574808996,0.5,3,0,4,3,29,6,0,26.3,0.48449013936329505,5.4214000000000055,2.6559242880370633,0,2,2,2,0,2,0,1,1
78,CHEMBL87823,7.299988937677888,,402.24275568408996,0.37037037037037035,3,0,4,3,30,7,0,26.3,0.3649630863616059,5.868100000000006,2.5049403457355375,0,1,1,3,0,3,0,1,1
79,CHEMBL432376,6.919987152892072,,435.26421940009,0.4444444444444444,5,0,4,5,32,8,0,40.46,0.359976221150097,5.215200000000006,2.8259027398600107,0,1,1,2,1,3,0,1,1
80,CHEMBL87014,7.659952682338607,,402.25398906409004,0.38461538461538464,4,0,4,4,30,7,0,34.89,0.4020767496939143,5.200420000000006,2.6740814597938947,0,1,1,2,1,3,0,1,1
81,CHEMBL418955,8.079981083971084,,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.5,0.646828867661836,4.681200000000004,2.120838080872252,0,1,1,2,1,3,0,1,1
82,CHEMBL93123,8.029978734171634,,439.225977168,0.2857142857142857,5,1,5,5,33,7,0,58.370000000000005,0.3880051704085061,5.924900000000005,2.184511846026062,0,1,1,3,1,4,0,1,1
83,CHEMBL92463,7.590066876668706,,336.183778008,0.38095238095238093,4,1,4,4,25,5,0,49.5,0.7511071391686511,4.378200000000004,2.194521506446913,0,1,1,2,1,3,0,1,1
84,CHEMBL328715,6.090000275786018,,335.19976242,0.38095238095238093,4,1,4,4,25,6,0,41.3,0.7177861605744295,4.542000000000003,2.117037082330489,0,1,1,2,1,3,0,1,1
85,CHEMBL362350,6.470005326930858,,332.21212425208995,0.36363636363636365,3,0,4,3,25,5,0,18.61,0.7405459854216904,4.4413000000000045,2.7745425043679113,0,2,2,2,0,2,0,1,1
86,CHEMBL359570,9.480040819247932,-1.0,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5258097689444057,0,2,2,2,1,3,0,1,1
87,CHEMBL187603,6.719991046891813,,456.22030598809005,0.5,5,1,4,6,32,8,0,55.760000000000005,0.6064325412276071,4.097500000000004,3.882713234560609,0,2,2,2,0,2,0,1,1
88,CHEMBL360832,7.0499760934766735,,442.20465592409005,0.48,5,1,4,6,31,7,0,55.760000000000005,0.6603575533305295,3.8515000000000033,3.6639938374588183,0,2,2,2,0,2,0,1,1
89,CHEMBL186090,6.119998611678231,,438.20974130409,0.4230769230769231,4,0,4,5,31,7,0,35.53,0.4548816092582388,4.902700000000005,4.128905523919938,0,2,2,2,0,2,0,0,0
90,CHEMBL187591,4.519999959791458,,398.21482668409,0.5,3,0,4,4,28,6,0,18.46,0.6257619843063745,5.167500000000005,3.437247367718774,0,2,2,2,0,2,0,1,1
91,CHEMBL188714,7.270025714300444,,422.19957054408997,0.6363636363636364,6,0,3,7,29,8,0,61.83000000000001,0.47392180481844176,3.099500000000001,3.6739406420132337,0,2,2,1,0,1,0,1,1
92,CHEMBL187330,5.589999287456538,,372.16279111209,0.42857142857142855,4,0,3,5,26,8,0,39.41,0.6637059053128864,3.6200000000000028,3.3743223732728325,0,1,1,1,1,2,0,0,0
93,CHEMBL189774,7.51999305704285,,388.15770573208994,0.42857142857142855,5,0,3,6,27,9,0,48.64,0.618471810910422,2.8564000000000007,3.3946903714187178,0,1,1,1,1,2,0,0,0
94,CHEMBL186042,8.33998877871067,,420.16279111209,0.28,4,0,4,5,30,8,0,39.410000000000004,0.5107327219108713,4.258300000000004,3.207357475010335,0,1,1,2,1,3,0,0,0
95,CHEMBL363455,6.620005959834258,,346.14376992008994,0.18181818181818182,4,0,4,4,26,6,0,39.41,0.5059639072775126,3.566600000000003,2.3150672517014232,0,1,1,2,1,3,0,0,0
96,CHEMBL8320,6.019996628416253,,108.021129368,0.0,2,0,1,2,8,0,0,34.14,0.4166812385860659,0.25059999999999993,2.3547041345107225,1,0,1,0,0,0,0,0,0
97,CHEMBL364729,5.777283528852417,,243.86523996,0.0,2,0,1,6,12,0,0,34.14,0.48562385065624664,2.5166,2.778343560550484,1,0,1,0,0,0,0,0,0
98,CHEMBL192627,6.787812395596042,,243.86523996,0.0,2,0,1,6,12,0,0,34.14,0.6150038675868632,2.5166,2.5906724343258354,1,0,1,0,0,0,0,0,0
99,CHEMBL208092,7.782516055786093,,514.4035476,0.6176470588235294,4,4,5,4,38,10,0,62.97,0.22719999777354416,7.474100000000008,4.97105721229645,3,0,3,1,1,2,1,0,1
100,CHEMBL1255901,7.327902142064282,2.0,242.141913196,0.4,3,3,3,3,18,0,0,58.88,0.6835351502151038,1.9975,4.9405807467540575,2,0,2,0,1,1,0,0,0
101,CHEMBL210453,8.193820026016112,,529.366827744,0.5882352941176471,5,2,5,5,39,11,0,63.25,0.1816447403389178,7.299900000000008,4.878068448885466,3,0,3,1,1,2,1,0,1
102,CHEMBL382423,7.804100347590766,,486.372247472,0.59375,4,4,5,4,36,10,0,62.97,0.2541208317253745,6.838000000000006,4.843616856738036,3,0,3,1,1,2,1,0,1
103,CHEMBL536047,10.481486060122112,,320.084703936,0.35294117647058826,2,2,4,4,21,0,0,38.91,0.7018342518422415,4.888200000000003,5.286652982733772,0,2,2,1,1,2,0,0,0
104,CHEMBL375126,4.31695296176115,,305.00103388800005,0.06666666666666667,3,0,3,5,20,2,0,37.38,0.7929698176550005,3.722900000000002,1.839396289896932,0,1,1,2,0,2,0,0,0
105,CHEMBL222752,5.484126156288321,,486.157957184,0.0967741935483871,6,0,6,6,37,6,0,74.76,0.36928737719766613,4.736400000000004,2.107843338868861,0,2,2,4,0,4,0,0,0
106,CHEMBL222856,6.982966660701219,,756.503715136,0.6190476190476191,12,2,2,12,54,27,0,140.15999999999997,0.07391402158384468,6.801400000000007,2.895638619380483,0,0,0,2,0,2,0,0,0
107,CHEMBL385130,7.913640169325252,,784.5350152640001,0.6363636363636364,12,2,2,12,56,29,0,140.15999999999997,0.06269824851929852,7.581600000000008,3.0017222873610825,0,0,0,2,0,2,0,0,0
108,CHEMBL222904,8.246416941107093,,780.5037151360001,0.6363636363636364,12,2,4,12,56,21,0,140.15999999999997,0.10273162113581401,6.801400000000007,3.0849664036056774,0,2,2,2,0,2,0,2,2
109,CHEMBL225567,10.853871964321762,,502.24993942000003,0.4,5,3,5,6,36,11,0,69.81,0.19385868736713222,6.969600000000006,2.5430208249930555,1,0,1,2,2,4,0,0,0
110,CHEMBL223443,10.823908740944319,,502.24993942000003,0.4,5,3,5,6,36,11,0,69.81,0.19385868736713222,6.969600000000006,2.547919228476365,1,0,1,2,2,4,0,0,0
111,CHEMBL225326,10.698970004336019,,580.160451488,0.4,5,3,5,7,37,11,0,69.81,0.1587595684455846,7.732100000000006,2.667902072824825,1,0,1,2,2,4,0,0,0
112,CHEMBL433282,6.070581074285707,,253.037507704,0.0,5,0,3,5,19,1,0,77.28,0.44435788048357133,2.6408000000000005,1.9471342845985369,1,0,1,2,0,2,0,0,0
113,CHEMBL235289,6.044312249686494,,272.006935848,0.0,8,0,3,8,20,2,0,120.42000000000002,0.4681250068474728,2.0351999999999997,2.4778081030837456,1,0,1,2,0,2,0,0,0
114,CHEMBL52347,6.494850021680094,,158.036779432,0.0,2,0,2,2,12,0,0,34.14,0.5355314188299348,1.4652,2.0362374890096486,1,0,1,1,0,1,0,0,0
115,CHEMBL254302,4.1911141326401875,,418.966430112,0.45454545454545453,5,1,1,8,19,4,0,51.22,0.4119554182437402,-0.3528999999999982,2.8452611884224766,0,0,0,0,1,1,0,0,0
116,CHEMBL231160,8.585026652029182,,632.430156272,0.5263157894736842,8,2,3,8,46,24,0,83.14,0.10361099994344834,6.2674000000000065,2.979695627159435,1,0,1,2,0,2,0,0,0
117,CHEMBL495711,5.719421629631924,,402.205576072,0.2916666666666667,6,4,4,6,30,6,0,97.11,0.5905617557408396,2.7383000000000006,2.6348476606867273,1,0,1,2,1,3,0,0,0
118,CHEMBL522073,5.199282921717614,,416.221226136,0.32,6,3,4,6,31,7,0,83.12,0.5529646166472741,2.9990000000000014,2.7016744668294486,1,0,1,2,1,3,0,0,0
119,CHEMBL496946,4.95116991347165,,452.221226136,0.25,6,4,5,6,34,6,0,97.11,0.41344047918412097,3.8915000000000033,2.783384862643075,1,0,1,3,1,4,0,0,0
